country,country_code,country_iso,prefix,voice_rate_in_usd,voice_unit_in_seconds
Bahamas,1242,BHS,1242461,0.13001,60
Bahamas,1242,BHS,1242462,0.1963,60
Bahamas,1242,BHS,1242463,0.1963,60
Bahamas,1242,BHS,1242464,0.1963,60
Bahamas,1242,BHS,1242465,0.2266,60
Bahamas,1242,BHS,1242466,0.1963,60
Bahamas,1242,BHS,1242467,0.2266,60
Bahamas,1242,BHS,1242468,0.2266,60
Bahamas,1242,BHS,124247,0.1963,60
Bahamas,1242,BHS,1242477,0.2266,60
Bahamas,1242,BHS,1242481,0.1963,60
Bahamas,1242,BHS,124250,0.12195,60
Bahamas,1242,BHS,1242524,0.1963,60
Bahamas,1242,BHS,1242525,0.2266,60
Bahamas,1242,BHS,1242533,0.1963,60
Bahamas,1242,BHS,1242535,0.1963,60
Bahamas,1242,BHS,1242544,0.1963,60
Bahamas,1242,BHS,1242551,0.1963,60
Bahamas,1242,BHS,1242552,0.1963,60
Bahamas,1242,BHS,1242553,0.2266,60
Bahamas,1242,BHS,1242554,0.1963,60
Bahamas,1242,BHS,1242556,0.1963,60
Bahamas,1242,BHS,1242557,0.2266,60
Bahamas,1242,BHS,1242558,0.2266,60
Bahamas,1242,BHS,1242559,0.1963,60
Bahamas,1242,BHS,1242565,0.2266,60
Bahamas,1242,BHS,1242577,0.1963,60
Bahamas,1242,BHS,1242636,0.1963,60
Bahamas,1242,BHS,1242646,0.1963,60
Bahamas,1242,BHS,1242727,0.1963,60
Bosnia and Herzegovina,387,BIH,387,0.1725,60
Bosnia and Herzegovina,387,BIH,3873020,0.1652,60
Bosnia and Herzegovina,387,BIH,3873024,0.1652,60
Bosnia and Herzegovina,387,BIH,3873025,0.1652,60
Bosnia and Herzegovina,387,BIH,3873026,0.1652,60
Bosnia and Herzegovina,387,BIH,3873027,0.1652,60
Bosnia and Herzegovina,387,BIH,3873028,0.1652,60
Bosnia and Herzegovina,387,BIH,3873029,0.1652,60
Bosnia and Herzegovina,387,BIH,38730481,0.1678,60
Bosnia and Herzegovina,387,BIH,38730482,0.1678,60
Bosnia and Herzegovina,387,BIH,38730488,0.1678,60
Bosnia and Herzegovina,387,BIH,3873049,0.1714,60
Bosnia and Herzegovina,387,BIH,3873050,0.1652,60
Bosnia and Herzegovina,387,BIH,3873051,0.1652,60
Bosnia and Herzegovina,387,BIH,3873052,0.1652,60
Bosnia and Herzegovina,387,BIH,3873053,0.1652,60
Bosnia and Herzegovina,387,BIH,3873054,0.1652,60
Bosnia and Herzegovina,387,BIH,3873056,0.1652,60
Bosnia and Herzegovina,387,BIH,3873059,0.1652,60
Bosnia and Herzegovina,387,BIH,3873061,0.1652,60
Bosnia and Herzegovina,387,BIH,3873063,0.1714,60
Bosnia and Herzegovina,387,BIH,3873064,0.1714,60
Bosnia and Herzegovina,387,BIH,3873065,0.1714,60
Bosnia and Herzegovina,387,BIH,3873070,0.1714,60
Bosnia and Herzegovina,387,BIH,3873071,0.1714,60
Bosnia and Herzegovina,387,BIH,3873073,0.1714,60
Bosnia and Herzegovina,387,BIH,3873079,0.1714,60
Bosnia and Herzegovina,387,BIH,3873080,0.1714,60
Bosnia and Herzegovina,387,BIH,3873083,0.1652,60
Bosnia and Herzegovina,387,BIH,3873087,0.1714,60
Bosnia and Herzegovina,387,BIH,38731481,0.1678,60
Bosnia and Herzegovina,387,BIH,38731488,0.1678,60
Bosnia and Herzegovina,387,BIH,38731511,0.1652,60
Bosnia and Herzegovina,387,BIH,3873171,0.1714,60
Bosnia and Herzegovina,387,BIH,3873172,0.1714,60
Bosnia and Herzegovina,387,BIH,3873173,0.1714,60
Bosnia and Herzegovina,387,BIH,3873174,0.1714,60
Bosnia and Herzegovina,387,BIH,3873175,0.1714,60
Bosnia and Herzegovina,387,BIH,3873176,0.1714,60
Bosnia and Herzegovina,387,BIH,3873177,0.1714,60
Bosnia and Herzegovina,387,BIH,3873179,0.1714,60
Bosnia and Herzegovina,387,BIH,3873220,0.1652,60
Bosnia and Herzegovina,387,BIH,3873222,0.1652,60
Bosnia and Herzegovina,387,BIH,3873224,0.1652,60
Bosnia and Herzegovina,387,BIH,3876032,0.3891,60
Bosnia and Herzegovina,387,BIH,3876033,0.3891,60
Bosnia and Herzegovina,387,BIH,3876034,0.3891,60
Bosnia and Herzegovina,387,BIH,3876035,0.3891,60
Bosnia and Herzegovina,387,BIH,38760360,0.3891,60
Bosnia and Herzegovina,387,BIH,38760361,0.3891,60
Bosnia and Herzegovina,387,BIH,38760362,0.3891,60
Bosnia and Herzegovina,387,BIH,38760363,0.3891,60
Bosnia and Herzegovina,387,BIH,38760364,0.3891,60
Bosnia and Herzegovina,387,BIH,3876037,0.3891,60
Bosnia and Herzegovina,387,BIH,3877022,0.1652,60
Bosnia and Herzegovina,387,BIH,3877023,0.1652,60
Bosnia and Herzegovina,387,BIH,3877024,0.1652,60
Bosnia and Herzegovina,387,BIH,3877025,0.1652,60
Bosnia and Herzegovina,387,BIH,3877026,0.1652,60
Saint-Barthelemy,590,BLM,590690,0.08412,60
Saint-Barthelemy,590,BLM,59069006,0.03095,60
Saint-Barthelemy,590,BLM,59069007,0.03095,60
Saint-Barthelemy,590,BLM,59069013,0.03095,60
Saint-Barthelemy,590,BLM,59069014,0.03095,60
Saint-Barthelemy,590,BLM,59069015,0.03095,60
Saint-Barthelemy,590,BLM,59069016,0.03095,60
Saint-Barthelemy,590,BLM,59069017,0.03095,60
Saint-Barthelemy,590,BLM,59069018,0.03095,60
Saint-Barthelemy,590,BLM,59069019,0.03095,60
Saint-Barthelemy,590,BLM,59069020,0.03095,60
Saint-Barthelemy,590,BLM,59069021,0.03095,60
Saint-Barthelemy,590,BLM,59069023,0.03095,60
Saint-Barthelemy,590,BLM,59069024,0.03095,60
Saint-Barthelemy,590,BLM,59069025,0.03095,60
Saint-Barthelemy,590,BLM,59069026,0.05331,60
Saint-Barthelemy,590,BLM,59069027,0.05331,60
Saint-Barthelemy,590,BLM,59069028,0.05331,60
Saint-Barthelemy,590,BLM,59069029,0.05331,60
Saint-Barthelemy,590,BLM,59069030,0.05331,60
Saint-Barthelemy,590,BLM,59069080,0.03095,60
Saint-Barthelemy,590,BLM,59069081,0.03095,60
Saint-Barthelemy,590,BLM,59069082,0.03095,60
Saint-Barthelemy,590,BLM,59069083,0.03095,60
Saint-Barthelemy,590,BLM,59069084,0.03095,60
Saint-Barthelemy,590,BLM,59069085,0.03095,60
Saint-Barthelemy,590,BLM,59069086,0.03095,60
Belarus,375,BLR,375,0.4615,60
Belarus,375,BLR,375172,0.4615,60
Belarus,375,BLR,375173,0.4615,60
Belarus,375,BLR,375175,0.4615,60
Belarus,375,BLR,37524,0.4598,60
